후기ID,이벤트ID,학교ID,학교명,학년구분,차시,수업일자,후기작성일,작성앙꼬,이슈여부,이슈심각도,후기본문,대응상태
REV-0011,CAL-0017,SCH-004,햇살특성화고,고등,1,2026-03-25,2026-03-27,앙꼬1(주영),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0012,CAL-0018,SCH-004,햇살특성화고,고등,2,2026-04-01,2026-04-01,앙꼬1(주영),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0013,CAL-0019,SCH-004,햇살특성화고,고등,3,2026-04-15,2026-04-15,앙꼬1(주영),Y,중,학생들 반응 좋은데 워크북 5차시 활동이 시간 안에 안 끝나요. 6차시로 분할하거나 단축안 검토 필요,전화대응완료
REV-0014,CAL-0021,SCH-005,맑은고등학교,고등,1,2026-04-01,2026-04-01,앙꼬2(현지),Y,저,워크북 인쇄 상태가 깨끗하지 않아서 다음 차시 발송 시 인쇄 품질 확인 부탁드려요,미확인
REV-0015,CAL-0022,SCH-005,맑은고등학교,고등,2,2026-04-08,2026-04-11,앙꼬2(현지),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0016,CAL-0024,SCH-005,맑은고등학교,고등,4,2026-04-22,2026-04-22,앙꼬2(현지),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0017,CAL-0027,SCH-006,큰빛중학교,중등,3,2026-04-29,2026-05-01,앙꼬2(현지),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0018,CAL-0028,SCH-006,큰빛중학교,중등,4,2026-05-06,2026-05-09,앙꼬2(현지),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0019,CAL-0029,SCH-006,큰빛중학교,중등,5,2026-05-13,2026-05-13,앙꼬2(현지),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,전화대응완료
REV-0020,CAL-0039,SCH-008,성실중학교,중등,1,2026-03-11,2026-03-14,앙꼬2(현지),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0021,CAL-0040,SCH-008,성실중학교,중등,2,2026-03-18,2026-03-21,앙꼬2(현지),Y,중,특성화고는 일반계와 학생 반응이 많이 달라요. 워크북 3차시 사례 부분을 특성화고용 별도 버전으로 분리 검토 부탁드려요,전화대응완료
REV-0022,CAL-0042,SCH-008,성실중학교,중등,4,2026-04-01,2026-04-02,앙꼬2(현지),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0023,CAL-0044,SCH-008,성실중학교,중등,6,2026-04-15,2026-04-15,앙꼬2(현지),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0024,CAL-0046,SCH-009,동성특성화고,고등,2,2026-04-01,2026-04-01,앙꼬1(주영),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0025,CAL-0049,SCH-009,동성특성화고,고등,5,2026-04-29,2026-04-29,앙꼬1(주영),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0026,CAL-0050,SCH-009,동성특성화고,고등,6,2026-05-06,2026-05-07,앙꼬1(주영),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0027,CAL-0052,SCH-010,예원중학교,중등,2,2026-03-18,2026-03-18,앙꼬2(현지),Y,저,한 학생이 활동 도중 무리하게 도구를 다뤄서 다음에는 안전 안내 한 번 더 짚어주시면 좋겠습니다,미확인
REV-0028,CAL-0058,SCH-010,예원중학교,중등,8,2026-05-06,2026-05-07,앙꼬2(현지),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0029,CAL-0059,SCH-011,한솔중학교,중등,1,2026-03-25,2026-03-27,앙꼬2(현지),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0030,CAL-0060,SCH-011,한솔중학교,중등,2,2026-04-01,2026-04-01,앙꼬2(현지),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0031,CAL-0061,SCH-011,한솔중학교,중등,3,2026-04-08,2026-04-10,앙꼬2(현지),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0032,CAL-0062,SCH-011,한솔중학교,중등,4,2026-04-15,2026-04-16,앙꼬2(현지),Y,심,담당 교사분이 다음 차시부터는 어렵겠다고 하셔서 학교 측 일정 재조율 필요해 보입니다. 본사 연락 부탁드려요,전화대응완료
REV-0033,CAL-0063,SCH-011,한솔중학교,중등,5,2026-04-22,2026-04-23,앙꼬2(현지),Y,저,분위기는 좋았는데 다음 차시 준비물 중 포스트잇이 부족했어요. 다음에 5색 말고 7색으로 부탁드려요,미확인
REV-0034,CAL-0065,SCH-012,다온고등학교,고등,1,2026-03-04,2026-03-05,앙꼬2(현지),Y,저,워크북 인쇄 상태가 깨끗하지 않아서 다음 차시 발송 시 인쇄 품질 확인 부탁드려요,미확인
REV-0035,CAL-0066,SCH-012,다온고등학교,고등,2,2026-03-11,2026-03-13,앙꼬2(현지),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0036,CAL-0068,SCH-012,다온고등학교,고등,4,2026-03-25,2026-03-26,앙꼬2(현지),N,없음,처음에는 어색해하더니 후반부에 활동 몰입도 높았어요. 발표 톤도 좋았습니다,댓글확인완료
REV-0037,CAL-0069,SCH-012,다온고등학교,고등,5,2026-04-01,2026-04-01,앙꼬2(현지),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0038,CAL-0070,SCH-012,다온고등학교,고등,6,2026-04-08,2026-04-09,앙꼬2(현지),Y,심,담당 교사분이 다음 차시부터는 어렵겠다고 하셔서 학교 측 일정 재조율 필요해 보입니다. 본사 연락 부탁드려요,미확인
REV-0039,CAL-0071,SCH-013,은하자율형사립고,고등,1,2026-04-15,2026-04-15,앙꼬1(주영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0040,CAL-0072,SCH-013,은하자율형사립고,고등,2,2026-04-22,2026-04-22,앙꼬1(주영),Y,저,한 학생이 활동 도중 무리하게 도구를 다뤄서 다음에는 안전 안내 한 번 더 짚어주시면 좋겠습니다,댓글확인완료
REV-0041,CAL-0073,SCH-013,은하자율형사립고,고등,3,2026-04-29,2026-04-29,앙꼬1(주영),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0042,CAL-0075,SCH-014,송림중학교,중등,1,2026-04-01,2026-04-01,앙꼬3(나윤),Y,저,학생 출결이 평소보다 적었어요(20명 중 14명). 학교 측 행사와 겹쳤는지 확인 부탁드려요,미확인
REV-0043,CAL-0077,SCH-014,송림중학교,중등,3,2026-04-15,2026-04-16,앙꼬3(나윤),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0044,CAL-0080,SCH-014,송림중학교,중등,6,2026-05-06,2026-05-08,앙꼬3(나윤),Y,중,3차시 비즈니스 모델 캔버스 워크북 인쇄 분량이 모자라서 5장 부족했어요. 다음 회차 발송 시 +10장 부탁드려요,미확인
REV-0045,CAL-0081,SCH-015,백양고등학교,고등,1,2026-03-04,2026-03-04,앙꼬2(현지),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,미확인
REV-0046,CAL-0082,SCH-015,백양고등학교,고등,2,2026-03-11,2026-03-13,앙꼬2(현지),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0047,CAL-0083,SCH-015,백양고등학교,고등,3,2026-03-18,2026-03-21,앙꼬2(현지),Y,저,분위기는 좋았는데 다음 차시 준비물 중 포스트잇이 부족했어요. 다음에 5색 말고 7색으로 부탁드려요,미확인
REV-0048,CAL-0084,SCH-015,백양고등학교,고등,4,2026-03-25,2026-03-26,앙꼬2(현지),Y,저,한 학생이 활동 도중 무리하게 도구를 다뤄서 다음에는 안전 안내 한 번 더 짚어주시면 좋겠습니다,댓글확인완료
REV-0049,CAL-0086,SCH-016,청솔자율형사립고,고등,2,2026-04-15,2026-04-17,앙꼬1(주영),Y,저,워크북 인쇄 상태가 깨끗하지 않아서 다음 차시 발송 시 인쇄 품질 확인 부탁드려요,미확인
REV-0050,CAL-0087,SCH-016,청솔자율형사립고,고등,3,2026-04-22,2026-04-23,앙꼬1(주영),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0051,CAL-0088,SCH-016,청솔자율형사립고,고등,4,2026-04-29,2026-04-30,앙꼬1(주영),Y,심,담당 교사분이 다음 차시부터는 어렵겠다고 하셔서 학교 측 일정 재조율 필요해 보입니다. 본사 연락 부탁드려요,미확인
REV-0052,CAL-0089,SCH-017,도담특성화고,고등,1,2026-04-08,2026-04-08,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0053,CAL-0091,SCH-017,도담특성화고,고등,3,2026-04-22,2026-04-24,앙꼬3(나윤),Y,중,3차시 비즈니스 모델 캔버스 워크북 인쇄 분량이 모자라서 5장 부족했어요. 다음 회차 발송 시 +10장 부탁드려요,댓글확인완료
REV-0054,CAL-0092,SCH-017,도담특성화고,고등,4,2026-04-29,2026-04-30,앙꼬3(나윤),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0055,CAL-0094,SCH-018,유진중학교,중등,2,2026-03-25,2026-03-25,앙꼬1(주영),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0056,CAL-0096,SCH-018,유진중학교,중등,4,2026-04-08,2026-04-09,앙꼬1(주영),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0057,CAL-0097,SCH-018,유진중학교,중등,5,2026-04-22,2026-04-23,앙꼬1(주영),Y,심,오늘 수업 중 학생 1명이 다른 학생 워크북을 찢는 사건이 있었습니다. 담임 선생님께 인계했는데 본사에서 학교에 한 번 더 컨택 부탁드려요,미확인
REV-0058,CAL-0098,SCH-018,유진중학교,중등,6,2026-04-29,2026-05-02,앙꼬1(주영),Y,심,택배가 오늘 아침까지 도착 안 해서 제가 가져간 백업본으로 수업 진행했습니다. 발송 추적 시스템 점검 필요,미확인
REV-0059,CAL-0099,SCH-019,선린고등학교,고등,1,2026-03-04,2026-03-04,앙꼬1(주영),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0060,CAL-0100,SCH-019,선린고등학교,고등,2,2026-03-11,2026-03-14,앙꼬1(주영),Y,심,택배가 오늘 아침까지 도착 안 해서 제가 가져간 백업본으로 수업 진행했습니다. 발송 추적 시스템 점검 필요,미확인
REV-0061,CAL-0103,SCH-020,정원중학교,중등,1,2026-03-11,2026-03-14,앙꼬3(나윤),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0062,CAL-0104,SCH-020,정원중학교,중등,2,2026-03-18,2026-03-21,앙꼬3(나윤),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0063,CAL-0105,SCH-020,정원중학교,중등,3,2026-03-25,2026-03-25,앙꼬3(나윤),Y,중,학생들 반응 좋은데 워크북 5차시 활동이 시간 안에 안 끝나요. 6차시로 분할하거나 단축안 검토 필요,댓글확인완료
REV-0064,CAL-0106,SCH-020,정원중학교,중등,4,2026-04-01,2026-04-01,앙꼬3(나윤),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,댓글확인완료
REV-0065,CAL-0108,SCH-020,정원중학교,중등,6,2026-04-15,2026-04-16,앙꼬3(나윤),N,없음,처음에는 어색해하더니 후반부에 활동 몰입도 높았어요. 발표 톤도 좋았습니다,댓글확인완료
REV-0066,CAL-0109,SCH-020,정원중학교,중등,7,2026-04-22,2026-04-24,앙꼬3(나윤),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0067,CAL-0112,SCH-021,지혜중학교,중등,2,2026-04-15,2026-04-16,앙꼬2(현지),Y,중,특성화고는 일반계와 학생 반응이 많이 달라요. 워크북 3차시 사례 부분을 특성화고용 별도 버전으로 분리 검토 부탁드려요,댓글확인완료
REV-0068,CAL-0113,SCH-021,지혜중학교,중등,3,2026-04-22,2026-04-25,앙꼬2(현지),Y,중,3차시 비즈니스 모델 캔버스 워크북 인쇄 분량이 모자라서 5장 부족했어요. 다음 회차 발송 시 +10장 부탁드려요,전화대응완료
REV-0069,CAL-0114,SCH-021,지혜중학교,중등,4,2026-04-29,2026-04-29,앙꼬2(현지),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,미확인
REV-0070,CAL-0116,SCH-021,지혜중학교,중등,6,2026-05-13,2026-05-13,앙꼬2(현지),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0071,CAL-0117,SCH-022,보람중학교,중등,1,2026-03-11,2026-03-11,앙꼬3(나윤),N,없음,처음에는 어색해하더니 후반부에 활동 몰입도 높았어요. 발표 톤도 좋았습니다,댓글확인완료
REV-0072,CAL-0118,SCH-022,보람중학교,중등,2,2026-03-18,2026-03-21,앙꼬3(나윤),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0073,CAL-0119,SCH-022,보람중학교,중등,3,2026-03-25,2026-03-26,앙꼬3(나윤),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0074,CAL-0120,SCH-022,보람중학교,중등,4,2026-04-01,2026-04-03,앙꼬3(나윤),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0075,CAL-0121,SCH-022,보람중학교,중등,5,2026-04-08,2026-04-11,앙꼬3(나윤),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0076,CAL-0122,SCH-022,보람중학교,중등,6,2026-04-15,2026-04-15,앙꼬3(나윤),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0077,CAL-0123,SCH-022,보람중학교,중등,7,2026-04-22,2026-04-22,앙꼬3(나윤),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0078,CAL-0124,SCH-022,보람중학교,중등,8,2026-04-29,2026-04-30,앙꼬3(나윤),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0079,CAL-0125,SCH-023,사랑중학교,중등,1,2026-04-08,2026-04-09,앙꼬2(현지),Y,심,담당 교사분이 다음 차시부터는 어렵겠다고 하셔서 학교 측 일정 재조율 필요해 보입니다. 본사 연락 부탁드려요,전화대응완료
REV-0080,CAL-0126,SCH-023,사랑중학교,중등,2,2026-04-15,2026-04-17,앙꼬2(현지),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0081,CAL-0127,SCH-023,사랑중학교,중등,3,2026-04-22,2026-04-22,앙꼬2(현지),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0082,CAL-0128,SCH-023,사랑중학교,중등,4,2026-04-29,2026-04-29,앙꼬2(현지),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0083,CAL-0129,SCH-023,사랑중학교,중등,5,2026-05-13,2026-05-14,앙꼬2(현지),Y,심,오늘 수업 중 학생 1명이 다른 학생 워크북을 찢는 사건이 있었습니다. 담임 선생님께 인계했는데 본사에서 학교에 한 번 더 컨택 부탁드려요,전화대응완료
REV-0084,CAL-0131,SCH-024,기쁨중학교,중등,1,2026-03-11,2026-03-12,앙꼬3(나윤),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0085,CAL-0132,SCH-024,기쁨중학교,중등,2,2026-03-18,2026-03-20,앙꼬3(나윤),Y,심,오늘 수업 중 학생 1명이 다른 학생 워크북을 찢는 사건이 있었습니다. 담임 선생님께 인계했는데 본사에서 학교에 한 번 더 컨택 부탁드려요,미확인
REV-0086,CAL-0133,SCH-024,기쁨중학교,중등,3,2026-03-25,2026-03-25,앙꼬3(나윤),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0087,CAL-0134,SCH-024,기쁨중학교,중등,4,2026-04-01,2026-04-02,앙꼬3(나윤),Y,심,택배가 오늘 아침까지 도착 안 해서 제가 가져간 백업본으로 수업 진행했습니다. 발송 추적 시스템 점검 필요,전화대응완료
REV-0088,CAL-0135,SCH-024,기쁨중학교,중등,5,2026-04-08,2026-04-11,앙꼬3(나윤),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0089,CAL-0136,SCH-024,기쁨중학교,중등,6,2026-04-15,2026-04-15,앙꼬3(나윤),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0090,CAL-0137,SCH-025,고운중학교,중등,1,2026-03-11,2026-03-12,앙꼬3(나윤),Y,저,워크북 인쇄 상태가 깨끗하지 않아서 다음 차시 발송 시 인쇄 품질 확인 부탁드려요,미확인
REV-0091,CAL-0138,SCH-025,고운중학교,중등,2,2026-03-18,2026-03-18,앙꼬3(나윤),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0092,CAL-0139,SCH-025,고운중학교,중등,3,2026-03-25,2026-03-25,앙꼬3(나윤),Y,중,3차시 비즈니스 모델 캔버스 워크북 인쇄 분량이 모자라서 5장 부족했어요. 다음 회차 발송 시 +10장 부탁드려요,전화대응완료
REV-0093,CAL-0141,SCH-025,고운중학교,중등,5,2026-04-08,2026-04-09,앙꼬3(나윤),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,댓글확인완료
REV-0094,CAL-0144,SCH-026,이루리중학교,중등,2,2026-03-11,2026-03-14,앙꼬3(나윤),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0095,CAL-0145,SCH-026,이루리중학교,중등,3,2026-03-18,2026-03-19,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0096,CAL-0146,SCH-026,이루리중학교,중등,4,2026-03-25,2026-03-26,앙꼬3(나윤),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0097,CAL-0147,SCH-026,이루리중학교,중등,5,2026-04-01,2026-04-01,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0098,CAL-0148,SCH-026,이루리중학교,중등,6,2026-04-08,2026-04-11,앙꼬3(나윤),N,없음,처음에는 어색해하더니 후반부에 활동 몰입도 높았어요. 발표 톤도 좋았습니다,댓글확인완료
REV-0099,CAL-0151,SCH-027,아름고등학교,고등,3,2026-04-15,2026-04-17,앙꼬4(소영),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0100,CAL-0152,SCH-027,아름고등학교,고등,4,2026-04-22,2026-04-23,앙꼬4(소영),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0101,CAL-0154,SCH-028,별빛중학교,중등,2,2026-03-18,2026-03-20,앙꼬4(소영),Y,저,학생 출결이 평소보다 적었어요(20명 중 14명). 학교 측 행사와 겹쳤는지 확인 부탁드려요,댓글확인완료
REV-0102,CAL-0155,SCH-028,별빛중학교,중등,3,2026-03-25,2026-03-28,앙꼬4(소영),Y,저,한 학생이 활동 도중 무리하게 도구를 다뤄서 다음에는 안전 안내 한 번 더 짚어주시면 좋겠습니다,댓글확인완료
REV-0103,CAL-0156,SCH-028,별빛중학교,중등,4,2026-04-01,2026-04-01,앙꼬4(소영),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0104,CAL-0159,SCH-028,별빛중학교,중등,7,2026-04-22,2026-04-23,앙꼬4(소영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0105,CAL-0161,SCH-029,온누리특성화고,고등,1,2026-04-01,2026-04-04,앙꼬4(소영),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0106,CAL-0162,SCH-029,온누리특성화고,고등,2,2026-04-08,2026-04-11,앙꼬4(소영),Y,저,한 학생이 활동 도중 무리하게 도구를 다뤄서 다음에는 안전 안내 한 번 더 짚어주시면 좋겠습니다,전화대응완료
REV-0107,CAL-0163,SCH-029,온누리특성화고,고등,3,2026-04-15,2026-04-15,앙꼬4(소영),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,전화대응완료
REV-0108,CAL-0164,SCH-029,온누리특성화고,고등,4,2026-04-22,2026-04-23,앙꼬4(소영),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
